Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4,Max_socket_power,Max_power
48.042221,10.081933,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.04271,10.08159,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.046929,10.079806,13.2,AC Steckdose Typ 2,11,0,0,0,0,0,0,11,11.0
48.1247,10.112164,98.0,AC Kupplung Typ 2,43,DC Kupplung Combo,50,0,0,0,0,50,50.0
48.12546,10.109536,150.0,DC Kupplung Combo,150,DC Kupplung Combo,75,0,0,0,0,150,150.0
48.124692,10.112158,150.0,DC Kupplung Combo,150,"DC Kupplung Combo, DC CHAdeMO",75,0,0,0,0,150,150.0
48.1255219974989,10.1090165697394,300.0,DC Kupplung Combo,300,DC Kupplung Combo,300,0,0,0,0,300,300.0
48.1255219974989,10.1090165697394,300.0,DC Kupplung Combo,300,DC Kupplung Combo,300,0,0,0,0,300,300.0
48.1255219974989,10.1090165697394,300.0,DC Kupplung Combo,300,DC Kupplung Combo,300,0,0,0,0,300,300.0
48.201828,10.838866,44.0,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,0,0,0,0,22,22.0
48.201828,10.838866,44.0,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,0,0,0,0,22,22.0
48.088473,10.076206,44.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.0697961,10.1260109,93.0,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,0,0,0,0,50,50.0
48.22173,9.87497,66.0,DC Kupplung Combo,33,DC Kupplung Combo,33,0,0,0,0,33,33.0
48.230169,9.888418,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.230389,9.885396,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.226264,9.879258,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.22086995,9.873656631,44.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.241357,9.86638,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.241357,9.86638,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.241252,9.883304,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,0,0,0,0,22,22.0
48.174909,9.974139,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.2672882080078,9.89018630981445,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.122172,9.961048,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
